Wavelength,Flux,eFlux
2376.2,1.93157843398319E-14,2.82004386751077E-16
2377.8,1.91944921304765E-14,2.83520539368019E-16
2379.4,1.93157843398319E-14,2.78365620470418E-16
2381,1.93157843398319E-14,2.95952990826937E-16
2382.6,1.93157843398319E-14,2.82307617274466E-16
2384.1,1.92551382351542E-14,2.74726854189759E-16
2385.7,1.91338460257989E-14,2.76546237330089E-16
2387.3,1.95280457062036E-14,2.7290747104943E-16
2388.9,1.95280457062036E-14,2.70178396338935E-16
2390.5,1.93461073921707E-14,2.69875165815547E-16
2392.1,1.9467399601526E-14,2.68359013198606E-16
2393.7,1.92248151828154E-14,2.62294402730841E-16
2395.3,1.94067534968483E-14,2.659331690115E-16
2396.9,1.93764304445095E-14,2.63810555347782E-16
2398.5,1.93157843398319E-14,2.64417016394558E-16
2400.1,1.90125538164436E-14,2.62900863777617E-16
2401.7,1.92248151828154E-14,2.62597633254229E-16
2403.3,1.94067534968483E-14,2.61687941684064E-16
2404.9,1.96796609678978E-14,2.5895886697357E-16
2406.5,1.9467399601526E-14,2.59868558543735E-16
2408.1,1.94977226538648E-14,2.59262097496958E-16
2409.7,1.97403070725754E-14,2.59262097496958E-16
2411.3,1.98312762295919E-14,2.55623331216299E-16
2412.9,1.97403070725754E-14,2.56533022786464E-16
2414.5,2.00738606483025E-14,2.55016870169523E-16
2416.1,1.99525684389472E-14,2.5380394807597E-16
2417.8,2.01041837006413E-14,2.55926561739687E-16
2419.4,1.95280457062036E-14,2.51074873365475E-16
2421,1.97706301249142E-14,2.48345798654981E-16
2422.6,2.00738606483025E-14,2.47739337608204E-16
2424.2,1.97403070725754E-14,2.47132876561428E-16
2425.8,1.95583687585425E-14,2.43494110280769E-16
2427.5,1.99222453866084E-14,2.43797340804157E-16
2429.1,1.98919223342695E-14,2.42584418710604E-16
2430.7,1.96190148632201E-14,2.41068266093663E-16
2432.3,1.98919223342695E-14,2.37429499813004E-16
2433.9,1.95583687585425E-14,2.35610116672674E-16
2435.6,1.94067534968483E-14,2.40158574523498E-16
2437.2,1.97403070725754E-14,2.34397194579121E-16
2438.8,1.9285461287493E-14,2.32274580915403E-16
2440.4,1.92248151828154E-14,2.38339191383169E-16
2442.1,1.97099840202366E-14,2.30455197775074E-16
2443.7,1.94370765491872E-14,2.29242275681521E-16
2445.3,1.93157843398319E-14,2.27119662017803E-16
2446.9,1.86790002407165E-14,2.22874434690368E-16
2448.6,1.90731999211212E-14,2.24693817830697E-16
2450.2,1.8769969397733E-14,2.23177665213756E-16
2451.8,1.89519077117659E-14,2.21055051550038E-16
2453.5,1.89519077117659E-14,2.20448590503261E-16
2455.1,1.91641690781377E-14,2.19235668409708E-16
2456.8,1.86486771883777E-14,2.18325976839544E-16
2458.4,1.86486771883777E-14,2.16809824222602E-16
2460,1.88306155024106E-14,2.17113054745991E-16
2461.7,1.90428768687824E-14,2.15596902129049E-16
2463.3,1.92551382351542E-14,2.16203363175826E-16
2465,1.88609385547495E-14,2.15293671605661E-16
2466.6,1.88609385547495E-14,2.12261366371779E-16
2468.2,1.89822307641048E-14,2.11654905325002E-16
2469.9,1.90125538164436E-14,2.10441983231449E-16
2471.5,1.8769969397733E-14,2.15596902129049E-16
2473.2,1.88609385547495E-14,2.07712908520955E-16
2474.8,1.88609385547495E-14,2.0680321695079E-16
2476.5,1.88609385547495E-14,2.05893525380625E-16
2478.1,1.88306155024106E-14,2.05590294857237E-16
2479.8,1.88306155024106E-14,2.04074142240296E-16
2481.4,1.85880310837E-14,2.04680603287072E-16
2483.1,1.87093232930553E-14,2.01951528576578E-16
2484.8,1.87396463453942E-14,2.00738606483025E-16
2486.4,1.8769969397733E-14,2.00132145436248E-16
2488.1,1.8769969397733E-14,2.00435375959637E-16
2489.7,1.85880310837E-14,2.00132145436248E-16
2491.4,1.89519077117659E-14,1.98009531772531E-16
2493.1,1.86790002407165E-14,1.96190148632201E-16
2494.7,1.85273849790224E-14,1.96493379155589E-16
2496.4,1.87093232930553E-14,1.94977226538648E-16
2498,1.8769969397733E-14,1.94977226538648E-16
2499.7,1.84970619266836E-14,1.93764304445095E-16
2501.4,1.84364158220059E-14,1.92248151828154E-16
2503,1.83151236126506E-14,1.90731999211212E-16
2504.7,1.81635083509565E-14,1.90428768687824E-16
2506.4,1.83454466649894E-14,1.90125538164436E-16
2508.1,1.81938314032953E-14,1.88912616070883E-16
2509.7,1.83757697173283E-14,1.88306155024106E-16
2511.4,1.81331852986177E-14,1.87093232930553E-16
2513.1,1.81635083509565E-14,1.86486771883777E-16
2514.8,1.807253919394E-14,1.85880310837E-16
2516.4,1.80118930892624E-14,1.85880310837E-16
2518.1,1.78906008799071E-14,1.84364158220059E-16
2519.8,1.81331852986177E-14,1.83757697173283E-16
2521.5,1.807253919394E-14,1.83454466649894E-16
2523.2,1.81938314032953E-14,1.83454466649894E-16
2524.8,1.80118930892624E-14,1.82241544556341E-16
2526.5,1.81331852986177E-14,1.81635083509565E-16
2528.2,1.80422161416012E-14,1.807253919394E-16
2529.9,1.83151236126506E-14,1.79815700369235E-16
2531.6,1.79209239322459E-14,1.78602778275682E-16
2533.3,1.79815700369235E-14,1.77996317228906E-16
2535,1.80422161416012E-14,1.78299547752294E-16
2536.6,1.807253919394E-14,1.77086625658741E-16
2538.3,1.80422161416012E-14,1.76176934088576E-16
2540,1.80422161416012E-14,2.08925830614508E-16
2541.7,1.80118930892624E-14,1.755704730418E-16
2543.4,1.78906008799071E-14,1.755704730418E-16
2545.1,1.76783395135353E-14,1.74660781471635E-16
2546.8,1.77693086705517E-14,1.74054320424858E-16
